Location_ID,Time_ID,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
1,1,2016-02-08 05:51:00,37.9,0.0,100.0,29.65,10.0,Calm,0.0,0.0,Night,Night,Night,Day
2,2,2016-02-08 06:56:00,36.0,33.3,100.0,29.67,10.0,SW,3.5,0.0,Night,Night,Day,Day
3,3,2016-02-08 07:38:00,35.1,31.0,96.0,29.64,9.0,SW,4.6,0.0,Night,Day,Day,Day
4,4,2016-02-08 07:53:00,36.0,33.3,89.0,29.65,6.0,SW,3.5,0.0,Day,Day,Day,Day
5,5,2016-02-08 07:51:00,37.9,35.5,97.0,29.63,7.0,SSW,3.5,0.03,Day,Day,Day,Day
6,6,2016-02-08 07:56:00,34.0,31.0,100.0,29.66,7.0,WSW,3.5,0.0,Day,Day,Day,Day
7,7,2016-02-08 07:56:00,34.0,31.0,100.0,29.66,7.0,WSW,3.5,0.0,Day,Day,Day,Day
8,8,2016-02-08 07:58:00,33.3,0.0,99.0,29.67,5.0,SW,1.2,0.0,Day,Day,Day,Day
5,9,2016-02-08 08:28:00,37.4,33.8,100.0,29.62,3.0,SSW,4.6,0.02,Day,Day,Day,Day
9,10,2016-02-08 07:50:00,35.6,30.7,93.0,29.64,5.0,WNW,5.8,0.0,Day,Day,Day,Day
10,11,2016-02-08 08:28:00,37.4,33.8,100.0,29.62,3.0,SSW,4.6,0.02,Day,Day,Day,Day
11,12,2016-02-08 08:28:00,33.8,0.0,100.0,29.63,3.0,SW,2.3,0.0,Day,Day,Day,Day
12,13,2016-02-08 08:56:00,36.0,31.1,89.0,29.65,10.0,NW,5.8,0.0,Day,Day,Day,Day
13,14,2016-02-08 08:28:00,37.4,33.8,100.0,29.62,3.0,SSW,4.6,0.02,Day,Day,Day,Day
14,15,2016-02-08 08:28:00,33.8,0.0,100.0,29.63,3.0,SW,2.3,0.0,Day,Day,Day,Day
15,16,2016-02-08 08:58:00,35.6,0.0,99.0,29.65,7.0,WSW,2.3,0.0,Day,Day,Day,Day
16,17,2016-02-08 08:56:00,36.0,31.1,89.0,29.65,10.0,NW,5.8,0.0,Day,Day,Day,Day
17,18,2016-02-08 09:38:00,37.4,32.1,93.0,29.63,10.0,WSW,6.9,0.0,Day,Day,Day,Day
18,19,2016-02-08 09:56:00,36.0,30.3,89.0,29.65,10.0,West,6.9,0.0,Day,Day,Day,Day
19,20,2016-02-08 10:14:00,33.8,29.6,100.0,29.62,2.0,NNW,4.6,0.01,Day,Day,Day,Day
20,21,2016-02-08 09:56:00,36.0,30.3,89.0,29.65,10.0,West,6.9,0.0,Day,Day,Day,Day
21,22,2016-02-08 11:53:00,35.1,28.6,89.0,29.65,6.0,WSW,8.1,0.02,Day,Day,Day,Day
22,23,2016-02-08 11:51:00,37.0,32.4,96.0,29.63,8.0,West,5.8,0.0,Day,Day,Day,Day
23,24,2016-02-08 12:20:00,37.9,30.9,76.0,29.62,10.0,WNW,10.4,0.0,Day,Day,Day,Day
24,25,2016-02-08 12:51:00,37.9,34.4,100.0,29.6,5.0,West,4.6,0.01,Day,Day,Day,Day
25,26,2016-02-08 12:53:00,36.0,29.0,86.0,29.63,7.0,West,9.2,0.0,Day,Day,Day,Day
26,27,2016-02-08 13:56:00,39.9,32.9,70.0,29.61,10.0,WNW,11.5,0.0,Day,Day,Day,Day
27,28,2016-02-08 14:56:00,39.9,34.5,65.0,29.61,10.0,WNW,8.1,0.0,Day,Day,Day,Day
28,29,2016-02-08 15:46:00,39.2,35.9,75.0,29.62,10.0,NNE,4.6,0.0,Day,Day,Day,Day
29,30,2016-02-08 15:53:00,37.0,31.6,89.0,29.61,10.0,West,6.9,0.0,Day,Day,Day,Day
30,31,2016-02-08 17:58:00,34.2,31.2,97.0,29.66,10.0,NW,3.5,0.02,Day,Day,Day,Day
31,32,2016-02-08 18:43:00,33.8,28.6,100.0,29.62,6.0,South,5.8,0.0,Night,Day,Day,Day
32,33,2016-02-08 19:51:00,34.0,0.0,100.0,29.65,6.0,Calm,0.0,0.07,Night,Night,Night,Day
33,34,2016-02-08 20:27:00,33.1,26.1,92.0,29.63,7.0,WNW,8.1,0.0,Night,Night,Night,Night
34,35,2016-02-08 20:39:00,33.1,25.5,92.0,29.63,9.0,WNW,9.2,0.0,Night,Night,Night,Night
35,36,2016-02-09 04:28:00,23.0,11.7,93.0,29.65,5.0,SW,11.5,0.0,Night,Night,Night,Night
36,37,2016-02-09 04:55:00,23.0,11.7,93.0,29.63,2.5,WSW,11.5,0.0,Night,Night,Night,Night
37,38,2016-02-09 04:58:00,22.8,11.5,89.0,29.69,4.0,SW,11.5,0.0,Night,Night,Night,Night
38,39,2016-02-09 05:27:00,26.6,18.2,86.0,29.62,1.5,West,8.1,0.01,Night,Night,Night,Night
39,40,2016-02-09 05:45:00,21.0,10.6,85.0,29.67,0.8,SW,9.2,0.01,Night,Night,Night,Night
40,41,2016-02-09 05:58:00,23.0,12.4,86.0,29.71,3.0,SW,10.4,0.0,Night,Night,Night,Night
41,42,2016-02-09 05:54:00,19.9,6.7,89.0,29.75,1.8,WSW,13.8,0.0,Night,Night,Night,Night
42,43,2016-02-09 05:51:00,25.0,15.5,88.0,29.65,1.0,SW,9.2,0.02,Night,Night,Night,Day
43,44,2016-02-09 06:03:00,23.0,10.1,88.0,29.66,2.0,West,15.0,0.0,Night,Night,Night,Day
44,45,2016-02-09 05:51:00,25.0,15.5,88.0,29.65,1.0,SW,9.2,0.02,Night,Night,Night,Day
45,46,2016-02-09 06:22:00,26.1,15.0,84.0,29.63,2.0,West,12.7,0.0,Night,Night,Night,Day
46,47,2016-02-09 06:36:00,24.8,16.1,86.0,29.64,1.0,SW,8.1,0.01,Night,Night,Night,Day
47,48,2016-02-09 06:51:00,23.0,11.7,86.0,29.68,4.0,SW,11.5,0.0,Night,Night,Night,Day
48,49,2016-02-09 06:51:00,23.0,11.7,86.0,29.68,4.0,SW,11.5,0.0,Night,Night,Day,Day
49,50,2016-02-09 06:56:00,21.9,9.8,92.0,29.71,2.0,WSW,12.7,0.01,Night,Night,Day,Day
50,51,2016-02-09 06:56:00,21.9,9.8,92.0,29.71,2.0,WSW,12.7,0.01,Night,Night,Day,Day
7,52,2016-02-09 06:56:00,21.9,9.8,92.0,29.71,2.0,WSW,12.7,0.01,Night,Night,Day,Day
51,53,2016-02-09 07:20:00,21.2,8.3,93.0,29.66,1.5,WSW,13.8,0.0,Night,Day,Day,Day
52,54,2016-02-09 07:12:00,21.0,10.6,85.0,29.69,1.2,WSW,9.2,0.0,Night,Night,Day,Day
53,55,2016-02-09 06:56:00,21.0,10.6,93.0,29.73,2.5,WSW,9.2,0.0,Night,Night,Day,Day
54,56,2016-02-09 07:08:00,21.9,9.8,92.0,29.68,2.0,WSW,12.7,0.0,Night,Day,Day,Day
55,57,2016-02-09 07:58:00,22.5,12.4,90.0,29.73,1.2,SW,9.2,0.0,Day,Day,Day,Day
56,58,2016-02-09 07:58:00,22.5,12.4,90.0,29.73,1.2,SW,9.2,0.0,Day,Day,Day,Day
57,59,2016-02-09 07:58:00,22.5,12.4,90.0,29.73,1.2,SW,9.2,0.0,Day,Day,Day,Day
58,60,2016-02-09 07:50:00,24.8,16.1,86.0,29.65,1.8,West,8.1,0.0,Day,Day,Day,Day
59,61,2016-02-09 07:54:00,21.2,8.9,93.0,29.69,2.0,West,12.7,0.0,Day,Day,Day,Day
60,62,2016-02-09 08:14:00,21.0,10.6,81.0,29.7,1.2,WSW,9.2,0.0,Day,Day,Day,Day
61,63,2016-02-09 08:14:00,21.0,10.6,81.0,29.7,1.2,WSW,9.2,0.0,Day,Day,Day,Day
62,64,2016-02-09 07:50:00,21.9,10.4,85.0,29.7,0.8,SW,11.5,0.0,Day,Day,Day,Day
63,65,2016-02-09 08:14:00,21.0,10.6,81.0,29.7,1.2,WSW,9.2,0.0,Day,Day,Day,Day
64,66,2016-02-09 08:14:00,21.0,10.6,81.0,29.7,1.2,WSW,9.2,0.0,Day,Day,Day,Day
65,67,2016-02-09 08:28:00,32.0,22.5,82.0,29.58,10.0,WSW,12.7,0.0,Day,Day,Day,Day
66,68,2016-02-09 08:28:00,32.0,22.5,82.0,29.58,10.0,WSW,12.7,0.0,Day,Day,Day,Day
67,69,2016-02-09 09:50:00,21.2,9.5,93.0,29.69,5.0,WSW,11.5,0.0,Day,Day,Day,Day
68,70,2016-02-09 11:04:00,27.0,13.5,81.0,29.64,2.5,WSW,19.6,0.0,Day,Day,Day,Day
69,71,2016-02-10 06:16:00,16.2,4.7,81.0,29.95,5.0,West,9.2,0.0,Night,Night,Night,Day
70,72,2016-02-10 06:19:00,15.8,2.7,73.0,29.87,4.0,WSW,11.5,0.0,Night,Night,Night,Day
71,73,2016-02-10 06:19:00,15.8,2.7,73.0,29.87,4.0,WSW,11.5,0.0,Night,Night,Night,Day
72,74,2016-02-10 06:58:00,15.4,1.0,82.0,29.95,7.0,SW,13.8,0.0,Night,Night,Day,Day
73,75,2016-02-10 07:55:00,14.0,-1.4,93.0,29.89,7.0,West,15.0,0.0,Day,Day,Day,Day
74,76,2016-02-10 07:51:00,15.1,4.2,77.0,29.92,1.0,SW,8.1,0.01,Day,Day,Day,Day
75,77,2016-02-10 07:56:00,15.8,6.1,88.0,29.96,1.8,West,6.9,0.0,Day,Day,Day,Day
76,78,2016-02-10 07:53:00,16.0,1.7,81.0,29.91,1.5,WSW,13.8,0.0,Day,Day,Day,Day
77,79,2016-02-10 08:16:00,15.8,2.7,84.0,29.97,4.0,West,11.5,0.0,Day,Day,Day,Day
78,80,2016-02-10 08:51:00,16.0,4.4,77.0,29.93,1.0,WSW,9.2,0.0,Day,Day,Day,Day
79,81,2016-02-10 08:55:00,17.6,5.0,79.0,29.87,3.0,West,11.5,0.0,Day,Day,Day,Day
51,82,2016-02-10 09:50:00,15.8,3.4,79.0,29.91,1.5,West,10.4,0.0,Day,Day,Day,Day
80,83,2016-02-10 10:51:00,17.1,3.0,77.0,29.96,1.5,West,13.8,0.0,Day,Day,Day,Day
81,84,2016-02-10 16:54:00,19.9,8.6,81.0,29.89,1.0,WNW,10.4,0.0,Day,Day,Day,Day
82,85,2016-02-10 18:10:00,19.9,7.3,78.0,29.87,4.0,WNW,12.7,0.0,Night,Day,Day,Day
83,86,2016-02-10 18:52:00,16.0,2.9,77.0,29.97,7.0,WSW,11.5,0.0,Night,Night,Day,Day
84,87,2016-02-11 05:51:00,14.0,0.5,56.0,30.14,9.0,NW,11.5,0.0,Night,Night,Night,Night
85,88,2016-02-11 05:30:00,14.0,1.2,74.0,30.03,4.0,NW,10.4,0.0,Night,Night,Night,Night
